ItemCoreCode;Barcode;Dimensions1Alias;Dimensions2Alias;Multiplier
W0SYD;8027463009182;-;-;10,0000
W0SYC;8027463009083;-;-;1,0000
W0SYC;8027463009199;-;-;10,0000
W0SY0;8027463009809;-;-;1,0000
W0SY0;8027463009816;-;-;10,0000
W0SWY;8027463009793;-;-;1,0000
W0SWY;8027463009786;-;-;10,0000
W0SWW;8027463009724;-;-;1,0000
W0SWW;8027463009731;-;-;10,0000
W0SWV;8027463009762;-;-;1,0000
W0SWV;8027463009779;-;-;10,0000
W0SWU;8027463009847;-;-;1,0000
W0SWU;8027463009854;-;-;10,0000
W0RRO;8027463002473;-;-;1,0000
W0RRO;8027463002558;-;-;5,0000
W0QUK;8027463002961;-;-;1,0000
W0QUK;8027463003036;-;-;6,0000
W0QUJ;8027463002954;-;-;1,0000
W0QUJ;8027463003029;-;-;6,0000
W0QUI;8027463002947;-;-;1,0000
W0QUI;8027463003012;-;-;6,0000
W0PGK;8027463001629;-;-;1,0000
W0PGK;8027463001643;-;-;6,0000
V9820;8027463006723;-;-;1,0000
V9820;8027463006730;-;-;5,0000
V9429;XXXV9429XXX;-;-;1,0000
V9429;8027463006624;-;-;6,0000
V9308;XXXV9308XXX;-;-;1,0000
V9308;8719964028068;-;-;5,0000
V9179;8027463005443;-;-;1,0000
V9179;8027463005467;-;-;5,0000
V9178;8027463005436;-;-;1,0000
V9178;8027463005450;-;-;5,0000
V8553;8027463002732;-;-;1,0000
V8553;8027463002886;-;-;5,0000
V8552;8027463002718;-;-;1,0000
V8552;8027463002862;-;-;5,0000
V8551;8027463002749;-;-;1,0000
V8551;8027463002824;-;-;5,0000
V8550;8027463002459;-;-;1,0000
V8550;8027463002510;-;-;5,0000
V8549;8027463002442;-;-;1,0000
V8549;8027463002503;-;-;5,0000
V8447;8027463003647;-;-;1,0000
V8447;8027463003722;-;-;6,0000
V8446;8027463003623;-;-;1,0000
V8446;8027463003708;-;-;6,0000
V8445;8027463003753;-;-;1,0000
V8445;8027463003678;-;-;1,0000
V8121;8027463003609;-;-;1,0000
V8121;8027463003685;-;-;6,0000
V8120;8027463003661;-;-;1,0000
V8120;8027463003746;-;-;6,0000
V8119;8027463003630;-;-;1,0000
V8119;8027463003715;-;-;6,0000
V8118;8027463003616;-;-;1,0000
V8118;8027463003692;-;-;6,0000
V8094;8032817684106;-;-;1,0000
V8094;8032817684113;-;-;5,0000
V7798;8027463002909;-;-;1,0000
V7798;8027463002978;-;-;6,0000
V7797;8027463002930;-;-;1,0000
V7797;8027463003005;-;-;6,0000
V7796;8027463002923;-;-;1,0000
V7796;8027463002992;-;-;6,0000
V7795;8027463002916;-;-;1,0000
V7795;8027463002985;-;-;6,0000
V7012;8027463001612;-;-;1,0000
V7012;8027463001636;-;-;6,0000
V5994;5400667955050;-;-;1,0000
V5994;5400667955043;-;-;5,0000
V5859;8027463001223;-;-;1,0000
V5859;8027463001230;-;-;6,0000
V5586;8027463001315;-;-;1,0000
V5586;8027463001322;-;-;6,0000
V5585;8027463001285;-;-;1,0000
V5585;8027463001292;-;-;6,0000
V5534;8719964011503;-;-;1,0000
V5534;8719964023148;-;-;5,0000
V5534;8719964022950;-;-;1,0000
V5534;8719964011510;-;-;5,0000
V5110;5400667955197;-;-;1,0000
V5110;5400667955203;-;-;5,0000
V5109;5400667955104;-;-;1,0000
V5109;5400667955111;-;-;5,0000
V5108;5400667955746;-;-;1,0000
V5108;5400667955753;-;-;5,0000
V5107;5400667955586;-;-;1,0000
V5107;5400667955593;-;-;5,0000
V5106;5400667955715;-;-;1,0000
V5106;5400667955722;-;-;5,0000
V5105;5400667955074;-;-;1,0000
V5105;5400667955081;-;-;5,0000
V5104;5400667955647;-;-;1,0000
V5104;5400667955630;-;-;5,0000
V5103;5400667955555;-;-;1,0000
V5103;5400667955562;-;-;5,0000
V5102;5400667955524;-;-;1,0000
V5102;5400667955531;-;-;5,0000
V5101;5400667955425;-;-;1,0000
V5101;5400667955418;-;-;5,0000
V5100;5400667955456;-;-;1,0000
V5100;5400667955449;-;-;5,0000
V5099;5400667955487;-;-;1,0000
V5099;5400667955470;-;-;5,0000
V5098;5400667955401;-;-;1,0000
V5098;5400667955500;-;-;5,0000
V5097;5400667955371;-;-;1,0000
V5097;5400667955388;-;-;5,0000
V5096;5400667955340;-;-;1,0000
V5096;5400667955357;-;-;5,0000
V5095;5400667955326;-;-;1,0000
V5042;806891205193;-;-;1,0000
V5042;806891205391;-;-;10,0000
V5041;806891205186;-;-;1,0000
V5041;806891205384;-;-;10,0000
V5040;806891205179;-;-;1,0000
V5040;806891205377;-;-;10,0000
V5039;806891205155;-;-;1,0000
V5039;806891205353;-;-;10,0000
V5038;806891205148;-;-;1,0000
V5038;806891205346;-;-;10,0000
V5037;806891205131;-;-;1,0000
V5037;806891205339;-;-;10,0000
V5036;806891205117;-;-;1,0000
V5036;806891205315;-;-;10,0000
V5035;806891205100;-;-;1,0000
V5035;806891205308;-;-;10,0000
V5034;806891205094;-;-;1,0000
V5034;806891205292;-;-;10,0000
V5033;806891205070;-;-;1,0000
V5033;806891205278;-;-;10,0000
V5032;806891205063;-;-;1,0000
V5032;806891205261;-;-;10,0000
V5031;806891205056;-;-;1,0000
V5031;806891205254;-;-;10,0000
V5030;806891205032;-;-;1,0000
V5030;806891205230;-;-;10,0000
V5029;806891205025;-;-;1,0000
V5029;806891205223;-;-;10,0000
V5028;806891205018;-;-;1,0000
V5028;806891205216;-;-;10,0000
V4854;8719964022936;-;-;1,0000
V4854;8719964023124;-;-;5,0000
V4854;8719964002679;-;-;1,0000
V4853;8719964023117;-;-;1,0000
V4853;8719964022929;-;-;1,0000
V4853;8719964002693;-;-;1,0000
V4853;8719964005175;-;-;5,0000
V4852;8719964003201;-;-;1,0000
V4852;8719964003218;-;-;5,0000
V3481;8027463000660;-;-;1,0000
V3481;8027463000738;-;-;6,0000
V3480;8027463000653;-;-;1,0000
V3480;8027463000721;-;-;6,0000
V3479;8027463000646;-;-;1,0000
V3479;8027463000714;-;-;6,0000
V3478;8027463000639;-;-;1,0000
V3478;8027463000707;-;-;6,0000
V3477;8027463000622;-;-;1,0000
V3477;8027463000691;-;-;6,0000
V3476;8027463000615;-;-;1,0000
V3476;8027463000684;-;-;6,0000
V3474;8027463000554;-;-;1,0000
V3474;8027463000578;-;-;4,0000
V2664;8719743213593;-;-;1,0000
V2664;8719743213661;-;-;5,0000
V2663;8719964022912;-;-;1,0000
V2663;8719964023100;-;-;5,0000
V2663;8719743213630;-;-;1,0000
V2663;8719743213708;-;-;5,0000
V0WOK;8059145111258;-;-;1,0000
V0WOK;8059145211255;-;-;10,0000
V0WOJ;8059145111265;-;-;1,0000
V0WOJ;8059145211262;-;-;10,0000
V0WOI;8059145111289;-;-;1,0000
V0WOI;8059145211286;-;-;10,0000
V0WOH;8059145111296;-;-;1,0000
V0WOH;8059145211293;-;-;10,0000
V0WOG;8059145111272;-;-;1,0000
V0WOG;8059145211279;-;-;10,0000
V0WOF;8059145111302;-;-;1,0000
V0WOF;8059145211309;-;-;10,0000
V0WLT;8719964063496;-;-;1,0000
V0WLT;8719964063533;-;-;10,0000
V0WKP;8056897051689;-;-;1,0000
V0WKO;8056897051702;-;-;1,0000
V0VIY;XXXV0VIYXXX;-;-;1,0000
V0VIY;8056897050811;-;-;5,0000
V0VIW;XXXV0VIWXXX;-;-;1,0000
V0VIV;XXXV0VIVXXX;-;-;1,0000
V0VIV;8056897050750;-;-;5,0000
V0VIU;8056897050637;-;-;1,0000
V0VIU;8056897050644;-;-;5,0000
V0VIT;8056897050668;-;-;1,0000
V0VIT;8056897050675;-;-;5,0000
V0UHS;8027463016524;-;-;1,0000
V0UHS;8027463016548;-;-;5,0000
V0UHR;8027463016517;-;-;1,0000
V0UHR;8027463016531;-;-;5,0000
V0UHQ;8027463016487;-;-;1,0000
V0UHQ;8027463016500;-;-;6,0000
V0UHP;8027463016470;-;-;1,0000
V0UHP;8027463016494;-;-;6,0000
V0UHO;8027463015190;-;-;1,0000
V0UHO;8027463015183;-;-;10,0000
V0UDV;8027463015251;-;-;1,0000
V0UDV;8027463015244;-;-;10,0000
V0UDU;8027463015145;-;-;1,0000
V0UDU;8027463015152;-;-;10,0000
V0UAA;8027463013875;-;-;1,0000
V0UAA;8027463013868;-;-;10,0000
V0UA0;8027463013813;-;-;1,0000
V0UA0;8027463013806;-;-;10,0000
V0U0Y;8027463014421;-;-;1,0000
V0U0Y;8027463014438;-;-;6,0000
V0U0W;8027463014353;-;-;1,0000
V0U0W;8027463014346;-;-;6,0000
V0U0V;8027463014360;-;-;1,0000
V0U0V;8027463014377;-;-;1,0000
V0U0U;8027463014308;-;-;1,0000
V0U0U;8027463014315;-;-;1,0000
V0U0T;8027463014414;-;-;1,0000
V0U0T;8027463014407;-;-;6,0000
V0U0S;8027463015084;-;-;1,0000
V0U0S;8027463015091;-;-;5,0000
V0U0S;8027463015275;-;-;5,0000
V0U0S;8027463015268;-;-;1,0000
V0U0R;8027463014506;-;-;1,0000
V0U0R;8027463014490;-;-;5,0000
V0U0R;8027463017507;-;-;5,0000
V0U0Q;8027463014575;-;-;1,0000
V0U0Q;8027463014582;-;-;5,0000
V0U0P;8027463013301;-;-;1,0000
V0U0P;8027463013394;-;-;10,0000
V0TWI;8027463013820;-;-;1,0000
V0TWI;8027463013837;-;-;10,0000
V0TWH;8027463013769;-;-;1,0000
V0TWH;8027463013776;-;-;10,0000
V0TWG;8027463013707;-;-;1,0000
V0TWG;8027463013714;-;-;10,0000
V0TWF;8027463013691;-;-;1,0000
V0TWF;8027463013684;-;-;10,0000
V0TWE;8027463013646;-;-;1,0000
V0TWE;8027463013653;-;-;10,0000
V0TWD;8027463013578;-;-;1,0000
V0TWD;8027463013561;-;-;10,0000
V0TWD;XXXV0TWDXXX;-;-;1,0000
V0TWC;8027463013585;-;-;1,0000
V0TWC;8027463013592;-;-;10,0000
V0TWB;8027463013523;-;-;1,0000
V0TWB;8027463013530;-;-;10,0000
V0TWA;8027463014629;-;-;1,0000
V0TWA;XXXV0TWAXXX;-;-;1,0000
V0TWA;8027463014612;-;-;5,0000
V0TW0;XXXV0TW0XXX;-;-;1,0000
V0TW0;8027463014643;-;-;5,0000
V0TW0;8027463014636;-;-;1,0000
V0TVY;XXXV0TVYXXX;-;-;1,0000
V0TVY;8027463014520;-;-;5,0000
V0TVY;8027463014513;-;-;1,0000
V0TVW;XXXV0TVWXXX;-;-;1,0000
V0TVW;8027463014551;-;-;5,0000
V0TVW;8027463014568;-;-;1,0000
V0TVV;XXXV0TVVXXX;-;-;1,0000
V0TVV;8027463014452;-;-;1,0000
V0TVV;8027463014469;-;-;5,0000
V0TVU;8027463015206;-;-;1,0000
V0TVU;8027463015213;-;-;10,0000
V0TVT;8027463013332;-;-;1,0000
V0TVT;8027463013424;-;-;10,0000
V0TVS;8027463013325;-;-;1,0000
V0TVS;8027463013417;-;-;10,0000
V0TVR;8027463013356;-;-;1,0000
V0TVR;8027463013363;-;-;10,0000
V0TVQ;8027463013349;-;-;1,0000
V0TVQ;8027463013431;-;-;10,0000
V0TVP;8027463013318;-;-;1,0000
V0TVP;8027463013400;-;-;10,0000
V0TUG;8719964060150;-;-;1,0000
V0TUG;8719964060167;-;-;10,0000
V0TSR;8719964060099;-;-;1,0000
V0TSR;8719964060105;-;-;10,0000
V0TSQ;8719964060068;-;-;1,0000
V0TSQ;8719964060075;-;-;10,0000
V0TSP;8719964060129;-;-;1,0000
V0TSP;8719964060136;-;-;10,0000
V0TSO;8719964056009;-;-;1,0000
V0TSO;8719964056016;-;-;10,0000
V0TSN;8719964056092;-;-;1,0000
V0TSN;8719964056108;-;-;10,0000
V0TSM;8719964056061;-;-;1,0000
V0TSM;8719964056078;-;-;10,0000
V0TSL;8719964055941;-;-;1,0000
V0TSL;8719964055958;-;-;10,0000
V0TSK;8719964055972;-;-;1,0000
V0TSK;8719964055989;-;-;10,0000
V0TSJ;8719964056122;-;-;1,0000
V0TSJ;8719964056139;-;-;10,0000
V0TSI;8719964055859;-;-;1,0000
V0TSI;8719964055866;-;-;10,0000
V0TSH;8719964056030;-;-;1,0000
V0TSH;8719964056047;-;-;10,0000
V0TSG;8719964056153;-;-;1,0000
V0TSG;8719964056160;-;-;10,0000
V0TSF;8719964055880;-;-;1,0000
V0TSF;8719964055897;-;-;10,0000
V0TSE;8719964055910;-;-;1,0000
V0TSE;8719964055927;-;-;10,0000
V0TQP;8056897050613;-;-;1,0000
V0TQO;8032817688968;-;-;1,0000
V0TJO;8032817688739;-;-;1,0000
V0TJO;8032817688746;-;-;5,0000
V0TJN;8056897050583;-;-;1,0000
V0TJN;8056897050590;-;-;5,0000
V0SRW;8056897050200;-;-;1,0000
V0SOM;8719964035738;-;-;1,0000
V0SOL;8719964035844;-;-;1,0000
V0SOL;8719964035868;-;-;1,0000
V0SOK;8027463012809;-;-;1,0000
V0SOK;8027463012793;-;-;10,0000
V0SOJ;8027463012762;-;-;1,0000
V0SOJ;8027463012755;-;-;10,0000
V0SOI;8027463012632;-;-;1,0000
V0SOI;8027463012670;-;-;10,0000
V0SOH;8027463012649;-;-;1,0000
V0SOH;8027463012687;-;-;10,0000
V0SOG;8027463012663;-;-;1,0000
V0SOG;8027463012700;-;-;10,0000
V0SOF;8027463012656;-;-;1,0000
V0SOF;XXXV0SOFXXX;-;-;1,0000
V0SOF;8027463012694;-;-;10,0000
V0RMA;8027463010454;-;-;1,0000
V0RMA;8027463010720;-;-;1,0000
V0RLY;8027463010539;-;-;1,0000
V0RLY;8027463010355;-;-;1,0000
V0RLS;8027463010560;-;-;1,0000
V0RLS;8027463010362;-;-;1,0000
V0RLP;8027463010423;-;-;1,0000
V0RLP;8027463010652;-;-;1,0000
V0RLO;8027463010683;-;-;1,0000
V0RLO;8027463010430;-;-;1,0000
V0REQ;XXXV0REQXXX;-;-;1,0000
V0REQ;8719964048219;-;-;10,0000
V0RDB;8719964048233;-;-;1,0000
V0RDB;8719964048257;-;-;10,0000
V0RDB;XXXV0RDBXXX;-;-;1,0000
V0RDB;8719964048240;-;-;10,0000
V0RD0;8027463011437;-;-;1,0000
V0RD0;8027463011444;-;-;10,0000
V0RCY;8027463011253;-;-;1,0000
V0RCY;8027463011260;-;-;10,0000
V0RCW;8027463011222;-;-;1,0000
V0RCW;8027463011239;-;-;10,0000
V0RCV;8027463011192;-;-;1,0000
V0RCV;8027463011208;-;-;10,0000
V0RCU;8027463011161;-;-;1,0000
V0RCU;8027463011178;-;-;10,0000
V0RCT;8027463011130;-;-;1,0000
V0RCT;8027463011147;-;-;10,0000
V0RCS;8027463011109;-;-;1,0000
V0RCS;8027463011116;-;-;10,0000
V0RCR;8027463011079;-;-;1,0000
V0RCR;8027463011086;-;-;10,0000
V0RCQ;8027463011048;-;-;1,0000
V0RCQ;8027463011055;-;-;10,0000
V0RCP;8027463011017;-;-;1,0000
V0RCP;8027463011024;-;-;10,0000
V0RCO;8027463011284;-;-;1,0000
V0RCO;8027463011291;-;-;10,0000
V0RCN;8027463011420;-;-;1,0000
V0RCN;8027463011413;-;-;10,0000
V0RCM;8027463011314;-;-;1,0000
V0RCM;8027463011321;-;-;10,0000
V0RCL;8027463011376;-;-;1,0000
V0RCL;8027463011383;-;-;10,0000
V0RCK;8027463011345;-;-;1,0000
V0RCK;8027463011352;-;-;10,0000
V0RCD;XXXV0RCDXXX;-;-;1,0000
V0RCD;8032817688838;-;-;5,0000
V0RCD;8032817688821;-;-;1,0000
V0RCC;XXXV0RCCXXX;-;-;1,0000
V0RCC;8032817688920;-;-;5,0000
V0RCC;8032817688913;-;-;1,0000
V0RCB;8032817688760;-;-;1,0000
V0RCB;XXXV0RCBXXX;-;-;1,0000
V0RCB;8032817688777;-;-;5,0000
V0RCA;8032817688883;-;-;1,0000
V0RCA;8032817688890;-;-;5,0000
V0RCA;XXXV0RCAXXX;-;-;1,0000
V0RBY;8032817688852;-;-;1,0000
V0RBY;8032817688869;-;-;5,0000
V0QPF;XXXV0QPFXXX;-;-;1,0000
V0QPF;8719964045959;-;-;10,0000
V0QPE;XXXV0QPEXXX;-;-;1,0000
V0QPE;8719964046048;-;-;10,0000
V0QPD;XXXV0QPDXXX;-;-;1,0000
V0QPD;8719964046079;-;-;10,0000
V0QPC;XXXV0QPCXXX;-;-;1,0000
V0QPC;8719964046017;-;-;10,0000
V0QPB;XXXV0QPBXXX;-;-;1,0000
V0QPB;8719964045980;-;-;10,0000
V0QLS;8719964041883;-;-;1,0000
V0QLS;8719964041890;-;-;5,0000
V0QLR;8719964041852;-;-;1,0000
V0QLR;8719964041869;-;-;5,0000
V0QCA;8027463009977;-;-;1,0000
V0QCA;8027463009960;-;-;10,0000
V0QC0;8027463010041;-;-;1,0000
V0QC0;8027463010058;-;-;10,0000
V0QBY;8027463009878;-;-;1,0000
V0QBY;8027463009861;-;-;10,0000
V0QBW;8027463009915;-;-;1,0000
V0QBW;8027463009908;-;-;10,0000
V0QBV;8027463010034;-;-;1,0000
V0QBV;8027463010027;-;-;10,0000
V0QBU;8027463009984;-;-;1,0000
V0QBU;8027463009991;-;-;10,0000
V0PYY;8032817687701;-;-;1,0000
V0PYY;8032817687718;-;-;5,0000
V0PYW;8032817687947;-;-;1,0000
V0PYW;8032817687954;-;-;5,0000
V0PYU;8032817687749;-;-;5,0000
V0PYR;8719964031754;-;-;1,0000
V0PYR;8719964031815;-;-;1,0000
V0PYQ;8719964031747;-;-;1,0000
V0PYQ;8719964031808;-;-;1,0000
V0PYP;8719964031761;-;-;1,0000
V0PYP;8719964031822;-;-;5,0000
V0PYO;8719964035141;-;-;1,0000
V0PYO;8719964035158;-;-;1,0000
V0PYN;8719964035110;-;-;1,0000
V0PYN;8719964035127;-;-;1,0000
V0PYM;8719964031716;-;-;1,0000
V0PYM;8719964031778;-;-;1,0000
V0PYL;8719964031785;-;-;1,0000
V0PYL;8719964031723;-;-;1,0000
V0PYK;8719964031730;-;-;1,0000
V0PYK;8719964031792;-;-;5,0000
V0PHQ;8719964043221;-;-;1,0000
V0PHQ;8719964043238;-;-;10,0000
V0PHP;8719964043191;-;-;1,0000
V0PHP;8719964043207;-;-;10,0000
V0PHO;8719964043252;-;-;1,0000
V0PHO;8719964043269;-;-;10,0000
V0PHN;8719964043283;-;-;1,0000
V0PHN;8719964043290;-;-;10,0000
V0PHM;8719964043153;-;-;1,0000
